NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
37,8,The All-American Rejects,When the World Comes Down,Gives You Hell,Gives You Hell,Gives You Hell,Gives You Hell,NA,Gives You Hell,NA,Gives You Hell,Gives You Hell,NA,Gives You Hell,Gives You Hell,Gives You Hell,Gives You Hell,Gives You Hell,Gives You Hell,Gives You Hell,Gives You Hell,NA,Gives You Hell,Gives You Hell,NA,NA,Gives You Hell,Gives You Hell,NA,Gives You Hell,NA,NA,Gives You Hell,NA,Gives You Hell,NA,NA,NA,Gives You Hell,Gives You Hell,Gives You Hell,NA,NA,NA,NA,NA,Gives You Hell,Gives You Hell,Gives You Hell,NA,NA,Gives You Hell,NA,NA,NA,Gives You Hell,Gives You Hell,NA,NA,NA,NA,NA,NA,Gives You Hell,NA,NA,Gives You Hell,NA,NA,NA,Gives You Hell,Gives You Hell,Gives You Hell,NA,NA,NA,NA,Gives You Hell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
2,1,The Wanted,The Wanted,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glad You Came,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glad You Came,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
3,1,Lorde,Pure Heroine,NA,NA,NA,NA,NA,NA,NA,NA,Glory and Gore,NA,NA,Glory and Gore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glory and Gore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
4,2,The Chemical Brothers,Born in the Echoes,NA,NA,NA,NA,NA,NA,NA,Go,Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Go,Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
13,9,Beck,Guero,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Go It Alone,Go It Alone,Go It Alone,Go It Alone,Go It Alone,Go It Alone,Go It Alone,Go It Alone,Go It Alone,NA,Go It Alone,Go It Alone,NA,NA,NA,NA,NA,Go It Alone,NA,NA,NA,NA,Go It Alone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0
1,1,Johnny Cash,American V: A Hundred Highways,NA,NA,NA,NA,NA,NA,God's Gonna Cut You Down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
8,3,Imagine Dragons,Smoke + Mirrors,Gold,Gold,Gold,NA,NA,NA,Gold,NA,NA,NA,NA,NA,NA,NA,Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold,NA,NA,NA,NA,Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
4,3,Sir Sly,You Haunt Me,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold [2],Gold [2],Gold [2],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold [2],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
25,8,Kanye West,Late Registration,NA,Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),NA,Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),NA,Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),NA,NA,Gold Digger (feat. Jamie Foxx),NA,Gold Digger (feat. Jamie Foxx),NA,NA,Gold Digger (feat. Jamie Foxx),NA,NA,Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),NA,NA,NA,NA,Gold Digger (feat. Jamie Foxx),NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold Digger (feat. Jamie Foxx),NA,NA,NA,NA,NA,NA,NA,Gold Digger (feat. Jamie Foxx),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold Digger (feat. Jamie Foxx),Gold Digger (feat. Jamie Foxx),NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
16,5,The Black Keys,El Camino,NA,NA,Gold On the Ceiling,Gold On the Ceiling,Gold On the Ceiling,Gold On the Ceiling,Gold On the Ceiling,NA,NA,NA,NA,NA,NA,Gold On the Ceiling,NA,NA,Gold On the Ceiling,Gold On the Ceiling,Gold On the Ceiling,NA,Gold On the Ceiling,NA,NA,NA,NA,NA,NA,NA,Gold On the Ceiling,Gold On the Ceiling,NA,Gold On the Ceiling,NA,NA,Gold On the Ceiling,Gold On the Ceiling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gold On the Ceiling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
17,14,Harry Styles,Fine Line,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,Golden,NA,Golden,NA,NA,NA,NA,NA,NA,NA,NA,Golden,NA,NA,Golden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0
7,4,Miley Cyrus,Plastic Hearts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golden G String,Golden G String,NA,NA,NA,Golden G String,Golden G String,Golden G String,Golden G String,NA,NA,NA,NA,NA,NA,NA,NA,NA,Golden G String,NA,NA,NA,NA,NA,NA,NA,4,0
11,9,Blake Rose,Gone - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gone,Gone,Gone,Gone,Gone,Gone,Gone,Gone,Gone,NA,NA,Gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gone,NA,NA,NA,NA,NA,NA,NA,NA,9,0
4,4,twenty one pilots,Blurryface,NA,NA,NA,Goner,Goner,Goner,Goner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
5,4,Cailin Russo,The Drama - EP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good Bad Decisions,Good Bad Decisions,Good Bad Decisions,Good Bad Decisions,NA,NA,NA,NA,NA,NA,NA,Good Bad Decisions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
17,12,Molly Kate Kestner,Good Die Young - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,Good Die Young,NA,NA,Good Die Young,NA,NA,Good Die Young,Good Die Young,NA,NA,NA,NA,NA,Good Die Young,NA,NA,NA,Good Die Young,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0
15,4,Queen,A Day At The Races,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good Old-Fashioned Lover Boy,NA,Good Old-Fashioned Lover Boy,NA,NA,NA,NA,Good Old-Fashioned Lover Boy,NA,Good Old-Fashioned Lover Boy,Good Old-Fashioned Lover Boy,Good Old-Fashioned Lover Boy,NA,Good Old-Fashioned Lover Boy,Good Old-Fashioned Lover Boy,NA,NA,NA,NA,NA,NA,Good Old-Fashioned Lover Boy,Good Old-Fashioned Lover Boy,Good Old-Fashioned Lover Boy,Good Old-Fashioned Lover Boy,NA,NA,NA,NA,NA,Good Old-Fashioned Lover Boy,NA,NA,NA,NA,NA,NA,Good Old-Fashioned Lover Boy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good Old-Fashioned Lover Boy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
4,2,Andy Grammer,Magazines or Novels,Good to Be Alive (Hallelujah),Good to Be Alive (Hallelujah),NA,NA,NA,NA,NA,NA,NA,Good to Be Alive (Hallelujah),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good to Be Alive (Hallelujah),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
9,4,Us The Duo,Just Love,NA,NA,NA,NA,NA,NA,NA,NA,Goodbye Forever,Goodbye Forever,Goodbye Forever,Goodbye Forever,NA,NA,NA,Goodbye Forever,NA,NA,Goodbye Forever,NA,NA,NA,NA,NA,NA,NA,NA,Goodbye Forever,NA,NA,NA,NA,NA,NA,NA,NA,Goodbye Forever,NA,NA,NA,NA,NA,NA,NA,NA,Goodbye Forever,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
33,26,Travis Scott,Birds in the Trap Sing McKnight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),NA,goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),goosebumps (feat. Kendrick Lamar),NA,goosebumps (feat. Kendrick Lamar),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0
11,4,Bruno Mars,Unorthodox Jukebox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gorilla,Gorilla,Gorilla,Gorilla,NA,Gorilla,NA,NA,Gorilla,Gorilla,NA,Gorilla,NA,Gorilla,NA,NA,NA,NA,NA,NA,NA,Gorilla,NA,NA,NA,NA,Gorilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
1,1,The Beatles,Revolver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Got to Get You Into My Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
7,4,Halsey,Manic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Graveyard,Graveyard,Graveyard,Graveyard,NA,Graveyard,NA,NA,NA,Graveyard,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Graveyard,NA,NA,NA,NA,NA,NA,NA,4,0
26,7,John Mayer,Continuum,Gravity,Gravity,Gravity,Gravity,Gravity,Gravity,Gravity,NA,Gravity,NA,NA,Gravity,Gravity,Gravity,NA,NA,NA,Gravity,Gravity,NA,NA,NA,NA,NA,Gravity,NA,NA,NA,NA,Gravity,NA,NA,Gravity,Gravity,Gravity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gravity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gravity,Gravity,Gravity,Gravity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gravity,Gravity,Gravity,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
24,8,Bruno Mars,Doo-Wops & Hooligans,NA,NA,Grenade,Grenade,Grenade,Grenade,Grenade,NA,NA,Grenade,Grenade,Grenade,Grenade,Grenade,Grenade,Grenade,Grenade,NA,NA,NA,NA,NA,NA,NA,Grenade,NA,Grenade,NA,NA,NA,NA,NA,NA,NA,Grenade,Grenade,Grenade,NA,NA,Grenade,NA,NA,NA,NA,Grenade,NA,NA,NA,NA,NA,NA,NA,NA,Grenade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Grenade,NA,NA,NA,NA,NA,NA,NA,Grenade,NA,NA,Grenade,NA,NA,NA,NA,NA,NA,NA,NA,8,0
11,3,AWOLNATION,Megalithic Symphony,NA,NA,Guilty Filthy Soul,Guilty Filthy Soul,NA,NA,NA,NA,NA,NA,Guilty Filthy Soul,Guilty Filthy Soul,NA,NA,NA,NA,NA,NA,Guilty Filthy Soul,Guilty Filthy Soul,Guilty Filthy Soul,NA,NA,Guilty Filthy Soul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guilty Filthy Soul,NA,Guilty Filthy Soul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guilty Filthy Soul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,1,The Script,No Sound Without Silence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hail Rain or Sunshine,NA,NA,NA,NA,NA,Hail Rain or Sunshine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hail Rain or Sunshine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
5,2,The Script,#3,NA,NA,NA,NA,NA,NA,NA,Hall of Fame (feat. will.i.am),NA,NA,NA,NA,Hall of Fame (feat. will.i.am),Hall of Fame (feat. will.i.am),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hall of Fame (feat. will.i.am),NA,NA,NA,NA,NA,NA,NA,Hall of Fame (feat. will.i.am),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
2,2,Rufus Wainwright,Hallelujah - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hallelujah,Hallelujah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
7,6,Dua Lipa,Future Nostalgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hallucinate,Hallucinate,Hallucinate,Hallucinate,Hallucinate,Hallucinate,NA,NA,NA,NA,Hallucinate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
31,5,Beyoncé,I Am... Sasha Fierce,NA,Halo,Halo,Halo,Halo,NA,Halo,NA,Halo,NA,NA,NA,Halo,Halo,NA,NA,NA,NA,Halo,Halo,NA,NA,NA,NA,Halo,Halo,Halo,NA,Halo,Halo,Halo,Halo,NA,NA,Halo,Halo,Halo,Halo,NA,NA,Halo,Halo,Halo,Halo,Halo,NA,NA,NA,NA,NA,NA,Halo,NA,Halo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Halo,NA,Halo,NA,NA,NA,NA,NA,NA,NA,NA,5,0
7,5,Flobots,Fight With Tools,Handlebars,Handlebars,Handlebars,Handlebars,Handlebars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Handlebars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Handlebars,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
9,2,Linkin Park,Minutes to Midnight,NA,NA,NA,NA,NA,NA,NA,Hands Held High,Hands Held High,NA,NA,Hands Held High,Hands Held High,NA,NA,Hands Held High,NA,NA,NA,Hands Held High,Hands Held High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hands Held High,NA,NA,NA,NA,NA,NA,NA,NA,Hands Held High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
5,4,One Direction,Midnight Memories,Happily,Happily,Happily,Happily,NA,NA,NA,Happily,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
3,3,John K,love + everything else,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,happiness,happiness,happiness,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,1,Marina and The Diamonds,Froot,Happy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Happy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
7,4,Mike Shinoda,Happy Endings (feat. iann dior and UPSAHL) - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Happy Endings (feat. iann dior and UPSAHL),Happy Endings (feat. iann dior and UPSAHL),Happy Endings (feat. iann dior and UPSAHL),Happy Endings (feat. iann dior and UPSAHL),NA,Happy Endings (feat. iann dior and UPSAHL),Happy Endings (feat. iann dior and UPSAHL),NA,NA,Happy Endings (feat. iann dior and UPSAHL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
